,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
98,2.75,3.65,3.9,3.95,3.7,5.0,3.8249999999999997,comp_98,False,insurer
99,3.6,1.95,3.55,1.65,1.75,1.8,2.3833333333333333,comp_99,True,other
100,2.7,1.7,2.6,1.55,1.85,4.65,2.5083333333333333,comp_100,True,transportation
101,1.7,1.8,1.65,1.5,1.65,1.6,1.6500000000000001,comp_101,False,card
102,2.9,1.6,1.6,1.35,1.65,1.85,1.825,comp_102,True,transportation
103,5.0,5.0,5.0,5.0,1.85,5.0,4.4750000000000005,comp_103,False,equity
104,2.45,2.75,3.6,1.5,1.55,2.85,2.45,comp_104,False,equity
105,1.35,2.85,1.25,1.05,1.15,1.6,1.5416666666666667,comp_105,False,bank
106,2.85,1.9,1.75,1.8,1.4,1.7,1.9000000000000001,comp_106,True,public_finance
107,1.75,1.65,1.5,1.45,1.55,1.7,1.5999999999999999,comp_107,False,insurer
108,5.0,5.0,1.7,5.0,1.95,3.95,3.766666666666666,comp_108,True,transportation
109,5.0,5.0,1.85,1.9,2.75,5.0,3.5833333333333335,comp_109,True,transportation
110,1.75,2.85,1.4,1.25,1.25,1.85,1.7249999999999999,comp_110,False,bank
111,2.95,1.6,1.5,1.55,1.3,1.55,1.741666666666667,comp_111,True,transportation
112,1.8,1.75,1.8,1.65,1.0,1.85,1.6416666666666666,comp_112,True,transportation
113,1.3,1.0,1.05,1.0,1.0,1.2,1.0916666666666666,comp_113,True,welfare
114,1.85,1.45,1.8,1.7,1.85,1.3,1.6583333333333334,comp_114,True,public_finance
115,2.45,1.55,1.65,1.6,1.6,1.7,1.758333333333333,comp_115,True,communications
116,1.5,1.35,1.7,2.4,1.05,1.4,1.5666666666666664,comp_116,True,communications
117,2.95,2.7,1.65,1.25,1.95,2.7,2.1999999999999997,comp_117,True,communications
118,2.65,1.6,2.9,1.35,1.8,2.9,2.2,comp_118,True,transportation
119,4.9,2.9,5.0,1.85,1.9,5.0,3.591666666666667,comp_119,True,other
120,2.85,1.7,1.7,1.1,5.0,2.8,2.525,comp_120,True,communications
121,4.9,2.9,5.0,1.85,1.85,3.9,3.4,comp_121,True,transportation
122,5.0,5.0,5.0,1.9,1.85,3.9,3.775,comp_122,True,safety
123,1.5,1.65,1.6,1.55,1.6,1.7,1.5999999999999999,comp_123,True,public_finance
124,1.7,1.55,1.65,1.55,1.5,1.8,1.625,comp_124,True,safety
125,2.9,1.8,5.0,1.9,1.25,3.6,2.7416666666666667,comp_125,True,communications
126,1.65,1.75,1.45,1.1,1.6,1.85,1.5666666666666664,comp_126,True,transportation
127,1.9,2.9,1.85,1.85,1.95,1.9,2.058333333333333,comp_127,True,safety
128,1.95,5.0,1.95,2.95,1.9,1.95,2.6166666666666667,comp_128,True,safety
129,2.85,2.95,1.55,1.8,3.75,4.9,2.966666666666667,comp_129,True,safety
130,2.7,2.85,1.55,1.8,1.95,4.9,2.625,comp_130,True,safety
131,2.9,2.75,1.6,5.0,5.0,5.0,3.7083333333333335,comp_131,True,safety
132,2.55,3.8,2.95,1.75,3.65,2.85,2.9250000000000003,comp_132,True,public_finance
133,2.9,2.7,1.85,1.7,1.65,1.75,2.0916666666666663,comp_133,True,welfare
134,1.05,1.35,1.45,1.35,1.55,1.25,1.3333333333333333,comp_134,True,public_finance
135,2.9,1.35,1.95,1.65,1.2,2.85,1.9833333333333332,comp_135,True,other
136,4.7,4.85,3.9,1.75,1.9,2.95,3.341666666666667,comp_136,True,other
137,3.75,5.0,5.0,5.0,1.85,5.0,4.266666666666667,comp_137,True,welfare
138,4.95,5.0,5.0,5.0,5.0,5.0,4.991666666666666,comp_138,True,welfare
139,2.95,5.0,2.9,5.0,1.55,3.8,3.533333333333333,comp_139,True,welfare
140,1.7,1.6,1.85,1.4,1.25,1.95,1.625,comp_140,True,transportation
141,1.95,4.9,2.55,2.6,1.4,5.0,3.0666666666666664,comp_141,False,card
142,4.35,5.0,4.5,5.0,1.7,1.85,3.733333333333334,comp_142,False,equity
143,2.55,1.85,3.95,1.8,1.6,4.8,2.7583333333333333,comp_143,False,card
144,2.75,5.0,2.95,1.75,1.6,2.85,2.8166666666666664,comp_144,False,equity
145,2.75,5.0,2.65,5.0,1.8,5.0,3.6999999999999997,comp_145,False,bank
146,1.6,1.5,1.35,1.75,1.8,1.45,1.575,comp_146,False,insurer
147,2.8,1.7,1.3,1.3,1.7,2.75,1.9249999999999998,comp_147,False,insurer
148,2.6,2.95,1.4,1.55,1.9,3.9,2.3833333333333337,comp_148,False,insurer
149,1.5,1.45,1.2,1.25,1.55,1.75,1.45,comp_149,False,insurer
150,3.65,1.8,1.6,1.5,1.55,2.75,2.141666666666667,comp_150,False,insurer
151,1.25,1.15,1.3,1.25,1.15,1.4,1.25,comp_151,False,insurer
152,1.65,1.45,1.8,1.45,1.0,2.75,1.6833333333333333,comp_152,False,insurer
153,2.8,1.9,1.7,1.8,1.75,2.95,2.15,comp_153,False,insurer
154,1.7,1.85,1.85,1.15,1.15,2.85,1.7583333333333335,comp_154,False,insurer
155,2.8,1.9,1.15,1.0,1.1,1.85,1.633333333333333,comp_155,False,insurer
156,3.4,1.95,1.4,1.7,2.85,3.85,2.525,comp_156,False,equity
157,1.95,1.7,1.65,1.55,1.1,1.5,1.575,comp_157,True,transportation
158,5.0,5.0,2.95,5.0,5.0,5.0,4.658333333333333,comp_158,True,public_finance
159,2.8,5.0,2.65,1.55,1.35,3.55,2.8166666666666664,comp_159,True,public_finance
160,1.75,2.95,1.85,1.85,1.8,1.9,2.016666666666667,comp_160,True,other
161,5.0,1.95,1.9,1.75,2.9,2.8,2.716666666666667,comp_161,True,other
162,3.95,2.95,1.85,1.8,1.9,1.95,2.4,comp_162,True,other
163,1.95,2.95,1.7,1.25,1.25,2.65,1.9583333333333337,comp_163,False,equity
